"","","êVãK","çƒóà","é∏çƒ","íºâÔ","ëçãq","ñ⁄ïW","íBê¨ó¶","ÉOÉâÉìÉhÉÅÉjÉÖÅ[","ÉNÅ[É|Éì","ÇªÇÃëº","èÉîÑè„","ñ⁄ïW","íBê¨ó¶","ãqíPâø","ó\ñÒ"
"01/01","ñÿ","0","0","0","0","0","27","0%","0","0","0","0","209,758","0%","0","0"
"01/02","ã‡","0","0","0","0","0","28","0%","0","0","0","0","209,758","0%","0","0"
"01/03","ìy","0","0","0","0","0","28","0%","0","0","0","0","209,758","0%","0","0"
"01/04","ì˙","6","13","0","0","19","28","67.86%","0","0","105,781","105,781","209,758","55.47%","5,567","19"
"01/05","åé","7","13","0","1","21","28","75%","1,500","0","121,100","122,600","209,758","64.29%","5,838","20"
"01/06","âŒ","13","26","0","0","39","28","139.29%","64,000","0","249,687","313,687","209,758","164.5%","8,043","40"
"01/07","êÖ","9","32","0","0","41","28","146.43%","95,000","0","218,816","313,816","209,758","164.57%","7,654","41"
"01/08","ñÿ","12","23","0","2","37","28","132.14%","73,500","0","215,920","289,420","209,758","151.78%","7,822","36"
"01/09","ã‡","7","10","0","0","17","28","60.71%","3,000","0","108,081","111,081","209,758","58.25%","6,534","18"
"01/10","ìy","12","19","0","0","31","28","110.71%","56,000","0","176,480","232,480","209,758","121.92%","7,499","32"
"01/11","ì˙","5","24","0","0","29","28","103.57%","64,000","0","184,990","248,990","209,758","130.57%","8,586","31"
"01/12","åé","7","21","0","0","28","28","100%","87,500","0","147,578","235,078","209,758","123.28%","8,396","28"
"01/13","âŒ","5","14","0","0","19","28","67.86%","75,045","0","97,508","172,553","209,758","90.49%","9,082","20"
"01/14","êÖ","16","33","0","1","50","28","178.57%","99,627","0","258,180","357,807","209,758","187.64%","7,156","24"
"01/15","ñÿ","0","0","0","0","0","28","0%","0","0","0","0","209,758","0%","0","26"
"01/16","ã‡","10","26","0","0","36","28","128.57%","137,000","0","162,360","299,360","209,758","156.99%","8,316","36"
"01/17","ìy","8","32","0","0","40","28","142.86%","87,500","0","169,817","257,317","209,758","134.94%","6,433","40"
"01/18","ì˙","10","22","0","0","32","28","114.29%","99,700","0","142,373","242,073","209,758","126.95%","7,565","34"
"01/19","åé","5","17","0","0","22","28","78.57%","40,500","0","123,771","164,271","209,758","86.15%","7,467","22"
"01/20","âŒ","11","15","0","0","26","28","92.86%","53,000","0","127,327","180,327","209,758","94.57%","6,936","26"
"01/21","êÖ","5","22","0","0","27","28","96.43%","130,045","0","125,472","255,517","209,758","134%","9,464","28"
"01/22","ñÿ","5","14","0","0","19","28","67.86%","93,500","0","66,700","160,200","209,758","84.01%","8,432","19"
"01/23","ã‡","16","24","0","0","40","28","142.86%","144,000","0","178,072","322,072","209,758","168.9%","8,052","41"
"01/24","ìy","16","19","0","0","35","28","125%","99,700","0","157,145","256,845","209,758","134.69%","7,338","35"
"01/25","ì˙","7","7","0","0","14","28","50%","50,000","0","60,526","110,526","209,758","57.96%","7,895","14"
"01/26","åé","7","18","0","0","25","28","89.29%","41,000","0","134,100","175,100","209,758","91.82%","7,004","25"
"01/27","âŒ","7","22","0","0","29","28","103.57%","84,500","0","151,317","235,817","209,758","123.67%","8,132","30"
"01/28","êÖ","13","18","0","0","31","28","110.71%","103,000","0","159,667","262,667","209,758","137.75%","8,473","32"
"01/29","ñÿ","12","9","0","0","21","28","75%","26,000","0","87,900","113,900","209,758","59.73%","5,424","21"
"01/30","ã‡","9","14","0","0","23","28","82.14%","81,500","0","94,490","175,990","209,759","92.29%","7,652","25"
"01/31","ìy","8","19","0","0","27","28","96.43%","71,500","0","135,452","206,952","209,759","108.53%","7,665","27"
"TOTAL","","248","526","0","4","778","867","89.73%","1,961,617","0","3,960,610","5,922,227","6,502,500","91.08%","7,612","790"
