"","","新規","再来","失再","直会","総客","目標","達成率","グランドメニュー","クーポン","その他","純売上","目標","達成率","客単価","予約"
"05/01","金","10","8","0","0","18","0","0%","39,000","0","68,762","107,762","0","0%","5,987","19"
"05/02","土","6","22","0","0","28","0","0%","56,000","0","149,524","205,524","0","0%","7,340","30"
"05/03","日","7","16","0","0","23","0","0%","84,000","0","94,500","178,500","0","0%","7,761","23"
"05/04","月","9","17","0","2","28","0","0%","87,000","0","141,329","228,329","0","0%","8,155","25"
"05/05","火","8","7","0","0","15","0","0%","0","0","105,462","105,462","0","0%","7,031","15"
"05/06","水","8","13","0","0","21","0","0%","46,591","0","111,371","157,962","0","0%","7,522","22"
"05/07","木","13","16","0","0","29","0","0%","106,045","0","128,234","234,279","0","0%","8,079","29"
"05/08","金","5","11","0","1","17","0","0%","47,000","0","102,936","149,936","0","0%","8,820","16"
"05/09","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","29"
"05/10","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","14"
"05/11","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","33"
"05/12","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","25"
"05/13","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","11"
"05/14","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","20"
"05/15","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","18"
"05/16","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","13"
"05/17","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","11"
"05/18","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","12"
"05/19","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","7"
"05/20","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","10"
"05/21","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","5"
"05/22","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","7"
"05/23","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","9"
"05/24","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","8"
"05/25","月","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","1"
"05/26","火","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","2"
"05/27","水","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","5"
"05/28","木","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","5"
"05/29","金","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","2"
"05/30","土","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"05/31","日","0","0","0","0","0","0","0%","0","0","0","0","0","0%","0","0"
"TOTAL","","66","110","0","3","179","0","0%","465,636","0","902,118","1,367,754","0","0%","7,641","426"
